4100.00 4300.00 0.75744 0.05527 19641.58915 548.98472
4300.00 4500.00 0.73610 0.03623 21580.83650 402.59190
4500.00 4700.00 0.77299 0.02839 20680.38083 309.89469
4700.00 4900.00 0.79592 0.02381 20868.21504 247.71116
4900.00 5100.00 0.85707 0.02146 20576.03629 217.60428
5100.00 5300.00 0.80133 0.02236 21405.27535 235.76490
5300.00 5430.00 0.85737 0.02346 20892.31798 236.86677
5430.00 5560.00 0.83111 0.02550 21272.10766 263.17849
5560.00 5700.00 0.80032 0.02400 21077.82745 245.07034
5700.00 5850.00 0.82285 0.02088 20627.76247 216.97244
5850.00 5950.00 0.85069 0.02722 21521.27744 289.54299
5950.00 6100.00 0.86632 0.02263 20694.42696 221.61006
6100.00 6300.00 0.82098 0.01995 21397.15434 205.76811
6300.00 6420.00 0.82113 0.03777 22026.91810 408.53126
6595.00 6850.00 0.86342 0.01749 20938.75463 170.71997
6850.00 7050.00 0.86855 0.01876 20515.49500 185.62329
7050.00 7300.00 0.85647 0.01568 20665.75877 158.30161
7300.00 7465.00 0.89630 0.02708 20368.12133 258.03728
7465.00 7630.00 0.89067 0.02515 20808.52090 243.29785
7630.00 7730.00 0.90373 0.03215 20406.21608 310.03378
7730.00 7895.00 0.85987 0.02512 20674.02565 251.78645
7895.00 8060.00 0.86809 0.02641 20660.30294 255.51227
8060.00 8245.00 0.91310 0.02621 20351.34757 247.27840
8245.00 8430.00 0.88645 0.03000 20154.56974 294.41211
8430.00 8630.00 0.90055 0.02981 20603.06262 289.03290
8630.00 8850.00 0.93934 0.04127 19807.62384 389.78364
8850.00 9100.00 0.85856 0.03600 20355.26224 345.67083
9100.00 9350.00 0.84290 0.03618 20855.45284 366.37847
