#TEFF:4500 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	2.19505015735e-12
935.0	3.38595987509e-12
945.0	4.82373710591e-12
955.0	6.10941873785e-12
965.0	1.24005537756e-11
975.0	1.41377471581e-11
985.0	2.31824875198e-11
995.0	3.8145355859e-11
1005.0	5.23644320095e-11
1015.0	7.62441427073e-11
1025.0	9.94576192608e-11
1035.0	2.40315324684e-10
1045.0	3.42694466996e-10
1055.0	3.76065434163e-10
1065.0	8.39543110358e-10
1075.0	1.18303389613e-09
1085.0	2.01973621325e-09
1095.0	2.5700604039e-09
1105.0	3.51223857963e-09
1115.0	4.75746980947e-09
1125.0	9.5234811053e-09
1135.0	1.61133573653e-08
1145.0	2.46232160923e-08
1155.0	3.42035659808e-08
1165.0	4.44003624915e-08
1175.0	6.59049408258e-08
1185.0	8.14668618264e-08
1195.0	9.68304289686e-08
1205.0	8.78199218404e-08
1215.0	4.18305139791e-08
1225.0	1.4165487065e-07
1235.0	3.33555902392e-07
1245.0	4.70801955622e-07
1255.0	6.27251037979e-07
1265.0	7.83921986755e-07
1275.0	1.0490730498e-06
1285.0	1.09433847028e-06
1295.0	1.39241420647e-06
1305.0	1.70062388926e-06
1315.0	2.17941042347e-06
1325.0	2.52060461234e-06
1335.0	2.8858530261e-06
1345.0	3.883659017e-06
1355.0	4.97410310211e-06
1365.0	5.80333259544e-06
1375.0	6.4435656586e-06
1385.0	7.86339336199e-06
1395.0	9.10611744062e-06
1405.0	1.22621763371e-05
1415.0	1.52963815302e-05
1425.0	1.75745370023e-05
1435.0	2.38832340977e-05
1442.0	3.15685741427e-05
1447.0	2.87678105603e-05
1455.0	3.37811272214e-05
1465.0	4.83514819447e-05
1475.0	5.73134970668e-05
