#TEFF:6500 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	4.87236104713e-05
935.0	6.8193803881e-05
945.0	9.47559353826e-05
955.0	0.000136027099004
965.0	0.000186798653204
975.0	0.000253501821895
985.0	0.000342981914896
995.0	0.000459579317196
1005.0	0.000627470860832
1015.0	0.000832397123064
1025.0	0.00103478155354
1035.0	0.00144066056645
1045.0	0.00187994667992
1055.0	0.00243777239539
1065.0	0.00313873829156
1075.0	0.00403579990837
1085.0	0.00515788948105
1095.0	0.00654028991586
1105.0	0.028286963073
1115.0	0.0551368782977
1125.0	0.0812214012236
1135.0	0.112877279845
1145.0	0.147169907549
1155.0	0.164437800917
1165.0	0.222565072616
1175.0	0.276422489115
1185.0	0.289005715177
1195.0	0.200620203875
1205.0	0.222837761002
1215.0	0.0841220206116
1225.0	0.291976128191
1235.0	0.620213491107
1245.0	1.17568969174
1255.0	1.59043560662
1265.0	1.60297096245
1275.0	2.14587315112
1285.0	2.68087961049
1295.0	3.19952619268
1305.0	3.16687442605
1315.0	4.192387468
1325.0	4.61806321632
1335.0	5.15621664777
1345.0	6.02973899439
1355.0	6.67959851955
1365.0	7.30565366796
1375.0	7.79630851305
1385.0	8.40023710724
1395.0	9.46891403295
1405.0	10.9729635987
1415.0	11.9984361545
1425.0	13.3806536637
1435.0	15.0083669804
1442.0	18.595701009
1447.0	17.4823296307
1455.0	20.1978712035
1465.0	23.4514814493
1475.0	25.8367530595
1485.0	28.2224781058
1495.0	35.2812206699
1505.0	41.0307444642
1512.0	35.212248582
1517.0	41.0329291197
1525.0	73.8451425167
1535.0	101.904434195
1545.0	96.4236485288
1555.0	130.23107614
1565.0	123.565816269
1575.0	192.809831189
1585.0	226.542607556
1595.0	262.139060277
