#TEFF:5750 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	2.72993771484e-07
935.0	3.91893186539e-07
945.0	5.83957874294e-07
955.0	8.74929509014e-07
965.0	1.28049021632e-06
975.0	1.77928104987e-06
985.0	2.51977380144e-06
995.0	3.49839879526e-06
1005.0	5.14294588725e-06
1015.0	7.10382050979e-06
1025.0	8.94533612454e-06
1035.0	1.35393211749e-05
1045.0	1.86042767279e-05
1055.0	2.47017511114e-05
1065.0	3.32508022803e-05
1075.0	4.4890069817e-05
1085.0	6.0036162988e-05
1095.0	7.75668682849e-05
1105.0	0.000229598019082
1115.0	0.000359782297924
1125.0	0.000516146382998
1135.0	0.000744719163846
1145.0	0.000992932103604
1155.0	0.0011889896642
1165.0	0.00161196221757
1175.0	0.00207236524086
1185.0	0.00238792119691
1195.0	0.00226037036837
1205.0	0.00270200850388
1215.0	0.00122014804393
1225.0	0.00381416916827
1235.0	0.00629569567096
1245.0	0.00811573447534
1255.0	0.00960196208712
1265.0	0.0105671349926
1275.0	0.0129897617004
1285.0	0.0146326352572
1295.0	0.0179104106182
1305.0	0.0192036871116
1315.0	0.0238918582816
1325.0	0.0254160822777
1335.0	0.0291091668319
1345.0	0.0344168254598
1355.0	0.0405236814458
1365.0	0.044575669908
1375.0	0.0498680225409
1385.0	0.056578798444
1395.0	0.0651493328648
1405.0	0.0782518265519
1415.0	0.0904112574332
1425.0	0.105485607259
1435.0	0.125293440592
1442.0	0.155031456776
1447.0	0.147934012895
1455.0	0.171320091018
1465.0	0.214861330427
1475.0	0.247812355745
1485.0	0.272817288356
1495.0	0.342202220937
1505.0	0.412994296618
1512.0	0.351768422542
1517.0	0.423981748406
1525.0	0.900695461776
1535.0	1.4629391005
