#TEFF:4250 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	6.25390279952e-13
935.0	9.317579429e-13
945.0	1.49207195636e-12
955.0	1.60637675831e-12
965.0	3.54352125985e-12
975.0	3.84869654957e-12
985.0	6.22465826629e-12
995.0	1.03958737159e-11
1005.0	1.41118612145e-11
1015.0	2.05627260644e-11
1025.0	2.93393556517e-11
1035.0	7.31384732187e-11
1045.0	1.02819321256e-10
1055.0	1.10460130748e-10
1065.0	2.66614342291e-10
1075.0	3.85602171614e-10
1085.0	7.25399831479e-10
1095.0	9.71192297583e-10
1105.0	1.32532070108e-09
1115.0	1.79992428161e-09
1125.0	4.06924218152e-09
1135.0	7.02783476422e-09
1145.0	1.12382297369e-08
1155.0	1.63947894387e-08
1165.0	2.14681639267e-08
1175.0	3.27212135779e-08
1185.0	4.01623366618e-08
1195.0	4.64439246395e-08
1205.0	3.91705550054e-08
1215.0	1.84567648921e-08
1225.0	6.42127725783e-08
1235.0	1.6757400388e-07
1245.0	2.47295777035e-07
1255.0	3.44784405594e-07
1265.0	4.28923952938e-07
1275.0	5.89451216305e-07
1285.0	6.04768385652e-07
1295.0	7.76481281179e-07
1305.0	9.54850487035e-07
1315.0	1.21479029808e-06
1325.0	1.40515894818e-06
1335.0	1.60118079884e-06
1345.0	2.17508105817e-06
1355.0	2.79410603957e-06
1365.0	3.22555751749e-06
1375.0	3.49499534111e-06
1385.0	4.19160094544e-06
1395.0	4.95513902009e-06
1405.0	6.73825892225e-06
1415.0	8.41750173125e-06
1425.0	9.53105644989e-06
1435.0	1.32293171744e-05
1442.0	1.78459906256e-05
1447.0	1.58285957467e-05
1455.0	1.85806820487e-05
1465.0	2.7259256685e-05
1475.0	3.25625766159e-05
