#TEFF:4000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
2135.0	0.393124398028
2145.0	0.328707840561
2155.0	0.38904382026
2165.0	0.391809358088
2175.0	0.427385458951
2185.0	0.409774496001
2195.0	0.621166998712
2205.0	0.5481943896
2215.0	0.649357591869
2225.0	0.600090562666
2235.0	0.908339234335
2245.0	1.01464967903
2255.0	1.21767610337
2265.0	0.76785577594
2275.0	1.30444654591
2285.0	1.3014370867
2295.0	2.0133298825
2305.0	0.948802270132
2315.0	2.44729792928
2325.0	2.04417624408
2335.0	2.98966303232
2345.0	2.01545317212
2355.0	1.86658613461
2365.0	2.38425379083
2375.0	2.3607634614
2385.0	3.68680595695
2395.0	3.47827770492
2405.0	5.70090420692
2415.0	3.91082473491
2425.0	4.78729906446
2435.0	6.66202653232
2445.0	8.71841767529
2455.0	9.97065686738
2465.0	6.95575636663
2475.0	11.4115061617
2485.0	5.24702644206
2495.0	6.00160418889
2505.0	10.506310244
2513.0	7.99947350539
2518.0	8.76209802401
2525.0	10.2953920093
2535.0	19.0925561058
2545.0	23.0062167815
2555.0	24.9371444838
2565.0	15.5176820327
2575.0	22.4818628434
2585.0	18.2848398823
2595.0	20.9301905182
2605.0	27.450391312
2615.0	26.036981937
2625.0	36.7218976871
2635.0	51.5109912748
2645.0	44.0859603547
2655.0	55.2842721021
2665.0	52.717395013
2675.0	46.2700030557
2685.0	60.3267228892
2695.0	47.1212848714
2705.0	67.8003094835
2715.0	68.6520448235
2725.0	63.0136949343
2735.0	65.4954676983
2745.0	87.2080834092
2755.0	83.7599199521
2765.0	105.45953017
2775.0	133.86009416
2785.0	99.1497298314
2795.0	125.765066466
2805.0	129.129818495
2815.0	132.470152184
2825.0	141.406061511
2835.0	132.513732823
2845.0	112.786656065
2855.0	67.3914901247
2865.0	158.007624279
2875.0	164.479856972
2885.0	223.010311953
2895.0	252.023796861
2910.0	294.202393036
2930.0	312.109060399
2950.0	310.523322771
2970.0	310.936666298
2990.0	354.985174706
3010.0	380.394708355
3030.0	434.36256536
3050.0	511.701655267
3070.0	535.465229124
3090.0	545.165681995
3110.0	721.794333128
3130.0	734.723934773
3150.0	964.44193014
3170.0	1360.46091311
3190.0	1126.39074293
3210.0	1358.94509256
3230.0	1402.36859625
3250.0	2156.83111724
3270.0	2863.93771425
3290.0	3670.92805714
3310.0	3083.81723575
3330.0	3561.90932748
3350.0	3455.39357918
3370.0	2360.29575321
3390.0	3045.11565531
3410.0	3329.45176135
3430.0	3658.69672667
3450.0	3338.07976969
3470.0	3342.78462665
3490.0	4458.45320171
3510.0	6168.56909465
3530.0	5801.02219526
3550.0	8366.11859187
3570.0	3774.89769711
3590.0	3423.11575168
3610.0	5323.62172101
3630.0	6861.58409096
3640.0	7863.8501372
3650.0	9432.01416932
3670.0	12755.2410354
3690.0	8922.37099316
3710.0	7002.51198749
3730.0	3574.34991505
3750.0	4409.74719554
3770.0	9997.44114982
3790.0	11086.232889
3810.0	9760.32926549
3830.0	4382.77530136
3850.0	7595.28161597
3870.0	6963.71066199
3890.0	7737.05887634
3910.0	11273.5188875
3930.0	4978.39219599
3950.0	9827.77416554
3970.0	6970.15705382
3990.0	20141.708474
4010.0	25864.3961781
4030.0	20930.7777356
4050.0	22064.286255
4070.0	18879.8901403
4090.0	31238.9472528
4110.0	21824.0944348
4130.0	23869.9961429
4150.0	22921.5682215
4170.0	24084.9084086
4190.0	24306.3427935
4210.0	18394.4063775
4230.0	9613.41753582
4250.0	18565.9705754
4270.0	19970.9272517
4290.0	20345.5088835
4310.0	21627.3530486
4330.0	32891.1608738
4350.0	37773.2951969
4370.0	39940.0935044
4390.0	31783.5601821
4410.0	32114.0691251
4430.0	34279.6282148
4450.0	37180.1690495
4470.0	43470.9491846
4490.0	45587.2619305
4510.0	56022.8874419
4530.0	42265.6686714
4550.0	49031.1452019
4570.0	55708.4089583
4590.0	51145.7621612
4610.0	53730.1957584
4630.0	53174.7063733
4650.0	50592.7935827
4670.0	56527.6811663
4690.0	53620.5731136
4710.0	49841.7579976
4730.0	48227.2318559
4750.0	46122.5298708
4770.0	37941.6409362
4790.0	42058.827457
4810.0	50868.3508617
4830.0	51619.9359824
4850.0	55822.7639936
4870.0	53464.0775294
4890.0	55892.4041389
4910.0	55639.4487674
4930.0	51618.0473171
4950.0	48869.7494437
4970.0	43849.4213372
4990.0	40039.5901352
5010.0	35215.3211807
5030.0	38503.5944283
5050.0	36448.8381639
5070.0	34618.845165
5090.0	33943.4847132
5110.0	35214.4571742
5130.0	33562.0281933
5150.0	31348.6437182
5170.0	30089.2751694
5190.0	33914.6193405
5210.0	40074.8941336
5230.0	58795.8366733
5250.0	65698.1915578
5270.0	51105.1209328
5290.0	68511.5021531
