#TEFF:4750 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	1.38364402237e-11
935.0	2.08525034014e-11
945.0	2.87255575669e-11
955.0	4.42444722971e-11
965.0	7.9726813846e-11
975.0	1.03533847691e-10
985.0	1.6693949474e-10
995.0	2.64204358077e-10
1005.0	3.82270445443e-10
1015.0	5.60402160321e-10
1025.0	6.56554400107e-10
1035.0	1.47908527133e-09
1045.0	2.06437521707e-09
1055.0	2.49239642493e-09
1065.0	4.51158938094e-09
1075.0	6.27329905407e-09
1085.0	9.93124192664e-09
1095.0	1.21704699115e-08
1105.0	1.65312145101e-08
1115.0	2.28780065236e-08
1125.0	3.80939244212e-08
1135.0	5.93382995524e-08
1145.0	8.57810833276e-08
1155.0	1.1629661889e-07
1165.0	1.52155344006e-07
1175.0	2.16892854087e-07
1185.0	2.78373754908e-07
1195.0	3.44629330056e-07
1205.0	3.69778958543e-07
1215.0	2.41523595861e-07
1225.0	6.00374040671e-07
1235.0	1.07193899192e-06
1245.0	1.42973552557e-06
1255.0	1.81715124397e-06
1265.0	2.31538376692e-06
1275.0	2.98312513686e-06
1285.0	3.3929485413e-06
1295.0	4.21329940973e-06
1305.0	5.14991169172e-06
1315.0	6.69339572263e-06
1325.0	7.91119104973e-06
1335.0	9.27086172072e-06
1345.0	1.2202826188e-05
1355.0	1.55489911074e-05
1365.0	1.86144934004e-05
1375.0	2.19505560124e-05
1385.0	2.60466895439e-05
1395.0	3.16996411057e-05
1405.0	4.01328022447e-05
1415.0	5.09470123283e-05
1425.0	5.78288486543e-05
1435.0	7.59153454451e-05
1442.0	9.5288189726e-05
1447.0	9.15753348503e-05
1455.0	0.000107479354175
1465.0	0.000148595425373
1475.0	0.000169020593615
1485.0	0.000195966773552
