#TEFF:6250 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	8.91607734548e-06
935.0	1.26792603072e-05
945.0	1.79178888086e-05
955.0	2.62054815785e-05
965.0	3.66295856224e-05
975.0	5.04266288328e-05
985.0	6.93101561534e-05
995.0	9.42778049784e-05
1005.0	0.000131050583952
1015.0	0.000176416974605
1025.0	0.000228768218373
1035.0	0.000314841900861
1045.0	0.000416927090465
1055.0	0.00054799106561
1065.0	0.00071513013235
1075.0	0.000933004716233
1085.0	0.00120902518516
1095.0	0.00155168740798
1105.0	0.00727343975413
1115.0	0.0139227550504
1125.0	0.0207010467413
1135.0	0.0293247279261
1145.0	0.038640704451
1155.0	0.0438713544729
1165.0	0.0596437285705
1175.0	0.0750184144064
1185.0	0.0802862445516
1195.0	0.0594808894278
1205.0	0.0676462188593
1215.0	0.0236284119889
1225.0	0.0898403454311
1235.0	0.182993839203
1245.0	0.295532572587
1255.0	0.374553800005
1265.0	0.383043421786
1275.0	0.492374245976
1285.0	0.591641770737
1295.0	0.71096410889
1305.0	0.720811601575
1315.0	0.922196950564
1325.0	0.992668432522
1335.0	1.10907523648
1345.0	1.28912289854
1355.0	1.45572075588
1365.0	1.57612579309
1375.0	1.69731092651
1385.0	1.85011826965
1395.0	2.08912296756
1405.0	2.44645164368
1415.0	2.71789269319
1425.0	3.06919564635
1435.0	3.52010190338
1442.0	4.38782419373
1447.0	4.07720572125
1455.0	4.7399785804
1465.0	5.69685639067
1475.0	6.35404990442
1485.0	6.918041743
1495.0	8.74807410132
1505.0	10.3100995832
1512.0	8.5376458222
1517.0	10.2884552768
1525.0	19.5953567495
1535.0	28.4979213542
1545.0	25.5618432889
1555.0	37.1339581252
1565.0	35.2067714051
1575.0	57.3824971461
