#TEFF:5250 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	4.98027757255e-09
935.0	7.05085387508e-09
945.0	1.08838736663e-08
955.0	1.68967207243e-08
965.0	2.69580615297e-08
975.0	3.64844070648e-08
985.0	5.48462071118e-08
995.0	7.74747106177e-08
1005.0	1.17848169624e-07
1015.0	1.67905310263e-07
1025.0	1.89849771404e-07
1035.0	3.48173163432e-07
1045.0	4.97995484363e-07
1055.0	6.20930844705e-07
1065.0	9.1526930156e-07
1075.0	1.2550489411e-06
1085.0	1.7197209275e-06
1095.0	2.13065733416e-06
1105.0	2.8156834695e-06
1115.0	3.79290600807e-06
1125.0	5.38720384971e-06
1135.0	7.70062095924e-06
1145.0	1.0418675442e-05
1155.0	1.35023183629e-05
1165.0	1.77683177911e-05
1175.0	2.36620256393e-05
1185.0	2.92378907391e-05
1195.0	3.41375337234e-05
1205.0	3.95236102925e-05
1215.0	2.79946419654e-05
1225.0	6.12620456448e-05
1235.0	9.26605324135e-05
1245.0	0.00011763472904
1255.0	0.000141979454467
1265.0	0.000173439273707
1275.0	0.000214495106743
1285.0	0.000246990967229
1295.0	0.000304936405156
1305.0	0.000358055729993
1315.0	0.000451641245261
1325.0	0.000517611049449
1335.0	0.000605346192879
1345.0	0.000756281898442
1355.0	0.000926600803725
1365.0	0.00107950867942
1375.0	0.00127011311568
1385.0	0.00148289214208
1395.0	0.00178887219964
1405.0	0.00216260918779
1415.0	0.00262386247
1425.0	0.00309813221601
1435.0	0.00375041751656
1442.0	0.00452551138914
1447.0	0.00459165298057
1455.0	0.00531675716423
1465.0	0.00667617818733
1475.0	0.00777582920078
1485.0	0.00870111507072
1495.0	0.0111215721805
1505.0	0.0134527898946
1512.0	0.0126300927675
