#TEFF:6000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	1.47316568551e-06
935.0	2.11971417042e-06
945.0	3.12651616594e-06
955.0	4.55264443771e-06
965.0	6.4979043435e-06
975.0	9.03169620477e-06
985.0	1.2614318643e-05
995.0	1.73799531597e-05
1005.0	2.47583854847e-05
1015.0	3.38051297977e-05
1025.0	4.37779025879e-05
1035.0	6.23834738853e-05
1045.0	8.39701647201e-05
1055.0	0.000111650654469
1065.0	0.000147722900528
1075.0	0.000196036055586
1085.0	0.000258047270226
1095.0	0.000334215365492
1105.0	0.00147587677917
1115.0	0.00263277689593
1125.0	0.0038849549461
1135.0	0.00558335745102
1145.0	0.0074128045697
1155.0	0.00860819707553
1165.0	0.0117231005349
1175.0	0.0149161744264
1185.0	0.0165425189041
1195.0	0.0136854540674
1205.0	0.0160819780228
1215.0	0.00577459299445
1225.0	0.021843770001
1235.0	0.0403765783556
1245.0	0.0565302750757
1255.0	0.068189805291
1265.0	0.0718595154526
1275.0	0.0897113658554
1285.0	0.103560458474
1295.0	0.125592754606
1305.0	0.130435090313
1315.0	0.16318619436
1325.0	0.172759005914
1335.0	0.194537714193
1345.0	0.226589587111
1355.0	0.260975904806
1365.0	0.282137731677
1375.0	0.30817673633
1385.0	0.34176707485
1395.0	0.388200056481
1405.0	0.460556785315
1415.0	0.521089144493
1425.0	0.598219287075
1435.0	0.699361657779
1442.0	0.876252845575
1447.0	0.813207529654
1455.0	0.947089410425
1465.0	1.17443186449
1475.0	1.33243235938
1485.0	1.45109215463
1495.0	1.84018198065
1505.0	2.2009685474
1512.0	1.79483854589
1517.0	2.20432469882
1525.0	4.45829493574
1535.0	6.86021485658
1545.0	5.90975549531
1555.0	9.18597740126
