#TEFF:5500 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
90.9	0.0
93.5	0.0
96.1	0.0
97.7	0.0
99.6	0.0
102.0	0.0
103.8	0.0
105.6	0.0
107.7	0.0
110.4	0.0
114.0	0.0
117.8	0.0
121.3	0.0
124.8	0.0
127.1	0.0
128.4	0.0
130.5	0.0
132.4	0.0
133.9	0.0
136.6	0.0
139.8	0.0
143.3	0.0
147.2	0.0
151.0	0.0
155.2	0.0
158.8	0.0
162.0	0.0
166.0	0.0
170.3	0.0
173.4	0.0
176.8	0.0
180.2	0.0
181.7	0.0
186.1	0.0
191.0	0.0
193.9	0.0
198.4	0.0
201.8	0.0
205.0	0.0
210.5	0.0
216.2	0.0
219.8	0.0
223.0	0.0
226.8	0.0
230.0	0.0
234.0	0.0
240.0	0.0
246.5	0.0
252.4	0.0
256.8	0.0
260.0	0.0
264.0	0.0
268.5	0.0
273.5	0.0
278.5	0.0
284.0	0.0
290.0	0.0
296.0	0.0
301.0	0.0
308.0	0.0
318.0	0.0
328.0	0.0
338.0	0.0
348.0	0.0
357.0	0.0
366.0	0.0
375.0	0.0
385.0	0.0
395.0	0.0
405.0	0.0
414.0	0.0
422.0	0.0
430.0	0.0
441.0	0.0
451.0	0.0
460.0	0.0
470.0	0.0
480.0	0.0
490.0	0.0
500.0	0.0
506.0	0.0
512.0	0.0
520.0	0.0
530.0	0.0
540.0	0.0
550.0	0.0
560.0	0.0
570.0	0.0
580.0	0.0
590.0	0.0
600.0	0.0
610.0	0.0
620.0	0.0
630.0	0.0
640.0	0.0
650.0	0.0
658.0	0.0
665.0	0.0
675.0	0.0
685.0	0.0
695.0	0.0
705.0	0.0
716.0	0.0
726.0	0.0
735.0	0.0
745.0	0.0
755.0	0.0
765.0	0.0
775.0	0.0
785.0	0.0
795.0	0.0
805.0	0.0
815.0	0.0
825.0	0.0
835.0	0.0
845.0	0.0
855.0	0.0
865.0	0.0
875.0	0.0
885.0	0.0
895.0	0.0
905.0	0.0
915.0	0.0
925.0	5.07347820814e-08
935.0	7.13589894881e-08
945.0	1.08694383753e-07
955.0	1.67024526476e-07
965.0	2.53548330502e-07
975.0	3.47719830838e-07
985.0	5.02576652773e-07
995.0	6.98710757394e-07
1005.0	1.06177330339e-06
1015.0	1.486442141e-06
1025.0	1.74435338489e-06
1035.0	2.91165789916e-06
1045.0	4.11573776272e-06
1055.0	5.28274699917e-06
1065.0	7.37676185089e-06
1075.0	1.0055645436e-05
1085.0	1.3604971247e-05
1095.0	1.70770625145e-05
1105.0	2.89105971864e-05
1115.0	4.02922413941e-05
1125.0	5.64657984301e-05
1135.0	8.06994357823e-05
1145.0	0.000107856912465
1155.0	0.000135135547512
1165.0	0.000179975978083
1175.0	0.00023460083051
1185.0	0.000280658131914
1195.0	0.000301613644305
1205.0	0.000354273431024
1215.0	0.000210350744633
1225.0	0.000524857806352
1235.0	0.000807118799053
1245.0	0.00101670554602
1255.0	0.00120853462871
1265.0	0.00141727564812
1275.0	0.00172459155724
1285.0	0.00195065491908
1295.0	0.00240885101388
1305.0	0.00269580405561
1315.0	0.00337200960436
1325.0	0.00369270880983
1335.0	0.00432692920206
1345.0	0.00523560654253
1355.0	0.0063006176805
1365.0	0.00714845460104
1375.0	0.00822269762753
1385.0	0.00943610329167
1395.0	0.011182145839
1405.0	0.0135583750322
1415.0	0.0159776514593
1425.0	0.0188870171262
1435.0	0.0226399374248
1442.0	0.0273327104767
1447.0	0.0272586889034
1455.0	0.0314303969264
1465.0	0.0391002363887
1475.0	0.0451654002683
1485.0	0.0508045389832
1495.0	0.0634184736826
1505.0	0.0765421920117
1512.0	0.0699327426124
1517.0	0.0813194023251
1525.0	0.17736498488
